chapter_index,chapter_title,article_index,article_title,category,text,start,end
0,第一章　総則,0,第一条,LAW_REFERENCE, この法,12,16
0,第一章　総則,0,第一条,ARTICLE_REFERENCE,第一条,0,3
0,第一章　総則,0,第一条,ARTICLE_REFERENCE,第一条,9,12
0,第一章　総則,0,第一条,PROCEDURE,発明,19,21
0,第一章　総則,0,第一条,PROCEDURE,発明,37,39
0,第一章　総則,1,第二条,LAW_REFERENCE, この法律で「発明」とは、自然法則を利用した技術的思想の創作のうち高度のものをいう。 ２ この法律で「特許発明」とは、特許を受けている発明をいう。 ３ この法律で発明について「実施」とは、次に掲げる行為をいう。 一 物（プログラム等を含む。以下同じ。）の発明にあつては、その物の生産、使用、譲渡等（譲渡及び貸渡しをいい、その物がプログラム等である場合には、電気通信回線を通じた提供を含む。以下同じ。）、輸出若しくは輸入又は譲渡等の申出（譲渡等のための展示を含む。以下同じ。）をする行為 二 方法の発明にあつては、その方法の使用をする行為 三 物を生産する方法の発明にあつては、前号に掲げるもののほか、その方法により生産した物の使用、譲渡等、輸出若しくは輸入又は譲渡等の申出をする行為 ４ この法,12,359
0,第一章　総則,1,第二条,ARTICLE_REFERENCE,第二条,0,3
0,第一章　総則,1,第二条,ARTICLE_REFERENCE,第二条,9,12
0,第一章　総則,1,第二条,ARTICLE_REFERENCE,前号,300,302
0,第一章　総則,1,第二条,PROCEDURE,発明,19,21
0,第一章　総則,1,第二条,PROCEDURE,発明,65,67
0,第一章　総則,1,第二条,PROCEDURE,発明,79,81
0,第一章　総則,1,第二条,PROCEDURE,発明,93,95
0,第一章　総則,1,第二条,PROCEDURE,発明,139,141
0,第一章　総則,1,第二条,PROCEDURE,発明,260,262
0,第一章　総則,1,第二条,PROCEDURE,発明,292,294
